# Phase 16-5 Primitive Logging Audit

Source: parser-based scan that skips comments and string literals; case-sensitive, unlike the earlier PowerShell rough count.

## Counts
- Category A: 186
- Category B: 18
- Category C: 2
- Category E: 4
- Total true primitive calls: 210

## Category Legend
- A: server diagnostic, migrate to LOG_*
- B: intended console/utility output, migrate to fmt::print
- C: fatal/assertion output, keep visible and log
- D: dead code, remove if verified
- E: test/example/special exception, leave or document

## Call Sites
SRC/Server/Base/grid.cpp:228 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("Grid %p\n", this)
SRC/Server/Base/grid.cpp:233 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("%d", m_pGrid[y * m_iWidth + x])
SRC/Server/Base/grid.cpp:235 | B | Debug grid dump helper prints a visual grid to terminal. | bare_printf | printf("\n")
SRC/Server/Core/gost_old.cpp:379 | E | Core crypto self-test/demo driver output; leave or modernize only if test driver is touched. | bare_printf | printf("GOST 21847-89 test driver.\n")
SRC/Server/Core/gost_old.cpp:389 | E | Core crypto self-test/demo driver output; leave or modernize only if test driver is touched. | bare_printf | printf("%3d\r", i)
SRC/Server/Core/gost_old.cpp:402 | E | Core crypto self-test/demo driver output; leave or modernize only if test driver is touched. | fprintf_stderr | fprintf(stderr, "\nError! i = %d\n", i)
SRC/Server/Core/gost_old.cpp:407 | E | Core crypto self-test/demo driver output; leave or modernize only if test driver is touched. | bare_printf | printf("All tests passed.\n")
SRC/Server/Core/log.cpp:216 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("scandir")
SRC/Server/Core/log.cpp:242 | A | Core log maintenance diagnostic; convert to LOG_ERROR/LOG_INFO or fmt console where appropriate. | fprintf_stderr | fprintf(stderr, "%s: SYSTEM_CMD: %s %s:%d %s:%d\n", __FUNCTION__, system_cmd, buf, num1, name, num2)
SRC/Server/Core/main.cpp:38 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("pid_init(): could not open file for writing. (filename: ./pid)")
SRC/Server/Core/socket.cpp:273 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("socket")
SRC/Server/Core/socket.cpp:321 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("connect")
SRC/Server/Core/socket.cpp:543 | A | Runtime errno diagnostic in server/core path; convert to LOG_ERROR with strerror(errno). | perror | perror("setsockopt: keepalive")
SRC/Server/Core/utils.cpp:19 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "------------------------------------------------------------------\n")
SRC/Server/Core/utils.cpp:29 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, " ")
SRC/Server/Core/utils.cpp:31 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "%02x ", *p)
SRC/Server/Core/utils.cpp:35 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "| ")
SRC/Server/Core/utils.cpp:41 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, " ")
SRC/Server/Core/utils.cpp:44 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "%c", ishprint(*p) && ishprint(*(p + 1)) ? *p : '.')
SRC/Server/Core/utils.cpp:49 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "\n")
SRC/Server/Core/utils.cpp:58 | B | printdata hex dump helper intentionally writes formatted dump to stderr. | fprintf_stderr | fprintf(stderr, "------------------------------------------------------------------\n")
SRC/Server/Database/ClientManager.cpp:234 | A | Server/runtime diagnostic output; route through LOG_*. | bare_printf | printf("DEFAULT_PRIV_PLAYER: set pid(%u), type(%u), value(%d)\n", pid, type, value)
SRC/Server/Database/ClientManager.cpp:261 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Failed Localization Infomation so exit\n")
SRC/Server/Database/ClientManager.cpp:267 | A | Server/runtime diagnostic output; route through LOG_*. | fprintf_stderr | fprintf(stderr, "Failed Default Priv Setting so exit\n")
